"ID","target","log_target","X20aa07010","X963a49cdc","X68a945b18","X935ca66a9","X8.61E.26","X26fc93eb7","X0572565c2","X66ace2992","fb49e4212","X6619d81fc","aca228668","X6eef030c1","bc70cbc26","fc99f9426","X7e814a30d","bd6da0cca","X1db387535","b43a7cfd5","X024c577b9","ea772e115","ad009c8b9","X2ec5b290f","X0ff32eb98","X166008929","X58e056e12","X241f0f867","cbb673163","X1931ccfdd","f02ecb19c","X58e2e02e6","X1fe5d56b9","X9fd594eec","fb0f5dbfe","X91f701ba2","ca2b906e8","X703885424","f97d9431e","X939f628a7","X62fb56487","eeb9cd3aa","X324921c7b","X58232a6fb","c0d2348b7","X491b9ee45","c8d582dd2","d6bb78916","c10f31664","X4bcf15776","X70feb1494","adb64ff71","X11e12dbe8","X9de83dc23","X62e59a501","X15ace8c9f","X5c6487af1","bb0ce54e9","f190486d6","f74e8f13d","X5d3b81ef8","X77deffdf0","c5a231d81","e176a204a","X1702b5bf0","a09a238d0","X190db8488","c47340d97","X8781e4b91","ef30f6be5","X23310aa6f"
"0b132f2c6",500000,13.1223633774043,"VLow",-0.506445308632453,-0.435225673087855,-0.177673577724994,-0.135454040881028,-0.440866963843689,-0.229717776075427,-0.499558718754919,-0.454093145627669,-0.211450006707765,-0.091344655885797,-0.194049544702073,-0.100457232912398,-0.239666670634653,-0.0898161073900371,-0.187170204033527,-0.256910263259976,-0.355494170709649,-0.23386999409501,-0.453183331538496,-0.420423409761377,-0.448041748601817,-0.211963113368341,-0.128178660696244,-0.354519973936764,-0.09622203305733,-0.460035358969573,-0.348071938980127,-0.132469216778985,-0.280761985558916,-0.427637150775388,-0.509481389185777,-0.0864665655395634,-0.213840479060146,-0.188295409118568,-0.249769583884652,-0.126452471571911,-0.0908624725909145,-0.462473638307339,0.104560103789934,-0.229265958528289,-0.0702426584005441,-0.203399600402468,-0.247370136475652,-0.195832151306599,-0.231503291069908,-0.474192620362157,-0.386574244638689,-0.256666612110308,-0.211627994716002,-0.17652397206205,-0.153442851131496,-0.518176300778863,-0.374032192301291,-0.37989110928045,-0.176041683548236,-0.370327812695366,-0.468755045645243,-0.478189101060671,-0.177087302175805,-0.199399713377174,-0.233829976860768,-0.329758997967304,-0.182397711988819,-0.233589838589962,-0.207489482679927,-0.189021217488055,-0.0813761167455798,-0.244357232370595
"1902ba327",1933333.34,14.4747561902968,"VLow",-0.163808595024763,-0.415055958821234,-0.433594229909404,-0.417953442947608,-0.499221907448447,-0.409749661116442,-0.329794974125901,-0.528901828838116,0.05295101315183,-0.348352366028203,-0.285206610801457,-0.495148582744031,-0.233902360823796,-0.388481359447234,-0.0843090442541519,-0.429869729678984,-0.307215312995293,-0.326473200569606,-0.438952616256677,1.05912793927176,-0.438799612765421,-0.336752224769482,-0.421401510325592,-0.346603857340513,0.698582413841116,-0.460035358969573,0.049329691808683,-0.41432657375699,-0.401606242290354,-0.482430717067545,0.613786486253858,-0.388580449796642,-0.475404964002666,-0.0306354829289566,-0.45823077096804,-0.462819677882665,-0.446633543598548,-0.126910042867056,-0.3438721735355,-0.299315512293826,-0.306990411883715,-0.328879600474873,-0.260858560375108,-0.354508864864271,-0.336731701064006,-0.474192620362157,-0.454925468762598,-0.515371854368374,-0.3909219098051,-0.441224617076238,-0.403036560630321,-0.214019279685997,-0.36444697280583,-0.471458656544416,0.751225107740306,-0.336106037779589,0.349786218015205,-0.34380001026453,-0.17292278305235,-0.427506168034313,-0.475631239957372,-0.344358909237841,-0.390957420531169,0.00638769997736862,-0.4262982204518,-0.470907539925857,-0.0903319378081362,-0.240512054796235
"1a6507f27",6376000,15.6680514994522,"VLow",-0.524157763503323,-0.479086797762887,-0.477504944345309,-0.452610831503595,-0.523792410018872,-0.48026167838253,-0.537298131884091,-0.538062075761844,-0.472449333110443,3.74729428040629,-0.398727531431848,3.74448636744346,-0.485975040388884,3.7425283544927,-0.453888093213921,-0.503418134695383,-0.362272370501069,-0.36685285369101,-0.48135433934128,-0.476446567594292,-0.51581741140205,-0.479728163282571,-0.4749159822006,-0.381786597768297,-0.370261817274579,-0.460035358969573,-0.509524635781044,-0.47916027497025,-0.401606242290354,-0.482430717067545,-0.549598099022906,-0.393888880061188,-0.475404964002666,-0.463245235588465,-0.509788423495451,-0.462819677882665,3.74197592447279,-0.485449478175412,-0.377479167990418,-0.372005752243088,-0.354788407114301,-0.470593938140891,-0.493116879675822,-0.465836040821493,-0.372910155431028,-0.474192620362157,-0.454925468762598,-0.515371854368374,-0.488228510331429,-0.455691424548432,-0.47040424879068,-0.518176300778863,-0.388308049985288,-0.51767154990042,-0.454015564419965,-0.331718630739105,-0.515834865351866,3.73239102073086,-0.47682020662811,-0.48087841303525,-0.487815432006651,-0.372467083535261,-0.459679041574971,-0.481521436850122,-0.467386483491784,-0.470907539925857,3.7495136764305,-0.50041912748561
"32a1b713c",17000000,16.6487239020205,"VLow",-0.524157763503323,-0.479086797762887,-0.477504944345309,-0.452610831503595,-0.523792410018872,-0.48026167838253,-0.537298131884091,-0.538062075761844,-0.472449333110443,3.74729428040629,2.40855458453776,3.74448636744346,-0.485975040388884,3.7425283544927,-0.453888093213921,-0.503418134695383,-0.362272370501069,-0.36685285369101,-0.48135433934128,-0.476446567594292,-0.51581741140205,-0.479728163282571,-0.4749159822006,-0.381786597768297,-0.370261817274579,-0.460035358969573,-0.509524635781044,-0.47916027497025,-0.401606242290354,-0.482430717067545,0.363916693554021,-0.393888880061188,-0.475404964002666,-0.463245235588465,-0.509788423495451,-0.462819677882665,3.74197592447279,-0.485449478175412,-0.0119294031543391,-0.372005752243088,-0.354788407114301,-0.470593938140891,-0.493116879675822,-0.465836040821493,-0.372910155431028,-0.474192620362157,-0.454925468762598,-0.515371854368374,-0.488228510331429,-0.455691424548432,-0.47040424879068,-0.518176300778863,-0.343695994722798,-0.51767154990042,-0.454015564419965,-0.3053941884962,-0.515834865351866,3.73239102073086,-0.47682020662811,-0.48087841303525,-0.487815432006651,-0.372467083535261,-0.459679041574971,-0.481521436850122,-0.467386483491784,-0.470907539925857,3.7495136764305,-0.50041912748561
"3dcfa3171",12666666.66,16.3544844284962,"VLow",-0.409664417083883,-0.266184258281893,-0.252884751269332,-0.215011208929046,-0.409006135170343,-0.360475594223197,-0.423167779462358,-0.423944684465381,-0.34766446710449,0.263787924769711,-0.398727531431848,0.25525862521627,-0.368213982000148,0.264734138490577,-0.254075030158436,-0.385561693721196,-0.344197171057282,-0.33985308522945,-0.28822320337374,-0.252016447360023,-0.40067985665721,-0.351708576660827,-0.215155954486146,-0.345137910409068,-0.303684073043011,-0.253470348110101,-0.390626466890694,-0.219434905652067,-0.401606242290354,-0.289297920563084,-0.523235689701364,-0.393888880061188,-0.350349893342784,-0.257265174849582,-0.385472332312144,-0.210828474702025,0.263733469818705,-0.292045256501129,-0.377479167990418,-0.305321852936562,-0.354788407114301,-0.270423941225212,-0.375624337283889,-0.263561253904683,-0.372910155431028,-0.27688861643425,-0.248318359478964,-0.391683799555528,-0.355984650724693,-0.246551707830845,-0.232951005848307,-0.397153823041965,-0.388308049985288,-0.394303973256637,-0.245770017947324,-0.375592701143947,-0.397124843029148,0.267075458320083,-0.25227377698602,-0.346302273301571,-0.366383927087967,-0.372467083535261,-0.251952323419843,-0.362984306145794,-0.343128643946173,-0.259730967957532,0.273039550118783,-0.37799486796143
"3f5e85beb",206000,12.2356314477717,"VLow",-0.472385036081308,-0.408012566537653,-0.40251895507784,-0.373291859756903,-0.47188722333885,-0.426095628755398,-0.485689546657992,-0.486459351424842,-0.416022885145062,-0.524888859409,-0.35806834151916,-0.534713498863293,-0.432724686830759,-0.52264939932721,-0.387183581938256,-0.450124650101684,-0.362272370501069,-0.357672932414079,-0.416880486431816,-0.401524031215333,-0.495279330738711,-0.421839007535777,-0.388199100768105,-0.374046394874185,-0.340156038098154,-0.391076813990923,-0.455760092412857,-0.392454963709143,-0.401606242290354,-0.417956309813424,-0.52982629203175,-0.352588121376501,-0.418856332239418,-0.394481967191425,-0.453573950739758,-0.378696298775744,-0.523751550638262,-0.420884459811967,-0.374825984217662,-0.355352776904444,-0.354788407114301,-0.403770269997611,-0.439987946321977,-0.398309720978588,-0.368454680755286,-0.408325719802765,-0.447158284203063,-0.459441373275392,-0.428429181280703,-0.385873353704365,-0.391134143627963,-0.463451166543941,-0.378225725495965,-0.461885985777816,-0.38449599852985,-0.375592701143947,-0.462155399949046,-0.517482873116387,-0.401858842146089,-0.42002445061883,-0.432905339837901,-0.372467083535261,-0.39033267852168,-0.427920151279689,-0.411198351534527,-0.400409496351469,-0.514045115245343,-0.44506012177564
"44e8be38e",138000,11.8350089641393,"VLow",-0.472385036081308,-0.408012566537653,-0.40251895507784,-0.373291859756903,-0.47188722333885,-0.426095628755398,-0.485689546657992,-0.486459351424842,-0.416022885145062,-0.524888859409,-0.38985327184854,-0.534713498863293,-0.432724686830759,-0.52264939932721,-0.387183581938256,-0.450124650101684,-0.350222236936037,-0.350052998359368,-0.416880486431816,-0.401524031215333,-0.463753379523689,-0.421839007535777,-0.388199100768105,-0.381786597768297,-0.340156038098154,-0.391076813990923,-0.455760092412857,-0.392454963709143,-0.359635315743452,-0.417956309813424,-0.549598099022906,-0.393888880061188,-0.418856332239418,-0.394481967191425,-0.453573950739758,-0.378696298775744,-0.523751550638262,-0.420884459811967,-0.369696495590332,-0.341851970820836,-0.324229032729054,-0.403770269997611,-0.439987946321977,-0.398309720978588,-0.342791146623014,-0.408325719802765,-0.385952869873926,-0.459441373275392,-0.428429181280703,-0.385873353704365,-0.391134143627963,-0.463451166543941,-0.383846844459039,-0.461885985777816,-0.38449599852985,-0.365677161232453,-0.462155399949046,-0.517482873116387,-0.401858842146089,-0.42002445061883,-0.432905339837901,-0.341520624536799,-0.39033267852168,-0.427920151279689,-0.411198351534527,-0.400409496351469,-0.514045115245343,-0.44506012177564
"52bfe707e",1554666.66,14.2567717140562,"VLow",3.3205033557055,3.74694857238617,-0.477504944345309,0.261974499547682,-0.517649784376266,-0.185660332448653,-0.0406800151743682,4.04206138610222,-0.40567247161295,-0.40749209131077,0.0669680901736093,-0.409798248297373,-0.391447785551976,-0.452150593478947,-0.363746861760319,-0.503418134695383,-0.0531864600123073,-0.161069618399826,0.157575734536298,-0.123770664369012,-0.446501392629084,2.38618467660585,-0.4749159822006,1.09753036083224,1.76609058966792,-0.287716652542067,-0.379129711443555,-0.127652256344138,0.560049647574224,3.87394815145412,1.16586882734857,0.524107983313373,0.339363783592065,-0.441563123931741,3.69798128277387,1.35606419469939,-0.224313346161201,3.16450989327159,-0.107129568939202,-0.242746939838797,0.392053770909059,-0.470593938140891,1.25403909669891,3.38194749977648,-0.359802959831387,-0.474192620362157,-0.377253623167247,-0.142501979311992,-0.425244601627114,-0.455691424548432,-0.47040424879068,-0.163596289020047,-0.119565029084048,3.13545766989162,-0.454015564419965,-0.350818475470359,-0.183911543778216,-0.487408868805587,-0.47682020662811,-0.314880326207026,-0.372959114955448,0.922614758279075,0.227537168863048,-0.481521436850122,-0.0850412068595611,-0.296250224764085,-0.331038020416695,-0.410829257298173
"60b8721e8",7000000,15.7614207070196,"VLow",-0.524157763503323,-0.479086797762887,-0.477504944345309,-0.452610831503595,-0.523792410018872,-0.48026167838253,-0.537298131884091,-0.538062075761844,-0.472449333110443,3.74729428040629,-0.355226258964653,3.74448636744346,-0.485975040388884,3.7425283544927,-0.453888093213921,-0.503418134695383,-0.362272370501069,-0.36685285369101,-0.48135433934128,-0.476446567594292,-0.51581741140205,-0.479728163282571,-0.4749159822006,-0.381786597768297,-0.370261817274579,-0.460035358969573,-0.509524635781044,-0.47916027497025,-0.034064229563664,-0.482430717067545,4.07337512887213,-0.393888880061188,-0.475404964002666,-0.463245235588465,-0.509788423495451,-0.462819677882665,3.74197592447279,-0.485449478175412,0.186410823179479,-0.372005752243088,-0.354788407114301,-0.470593938140891,-0.493116879675822,-0.465836040821493,-0.372910155431028,-0.474192620362157,-0.454925468762598,-0.515371854368374,-0.488228510331429,-0.455691424548432,-0.47040424879068,-0.518176300778863,-0.388308049985288,-0.51767154990042,-0.454015564419965,-0.375592701143947,-0.515834865351866,3.73239102073086,-0.47682020662811,-0.48087841303525,-0.487815432006651,-0.372467083535261,-0.459679041574971,-0.481521436850122,-0.467386483491784,-0.470907539925857,3.7495136764305,-0.50041912748561
"735f22d30",374000,12.8320110763967,"VLow",-0.23640993489253,-0.359455845939719,-0.00574624197210348,0.922519314938205,-0.447009589486295,-0.24346950403623,-0.456577012420165,-0.445055035329591,-0.445738588511446,-0.524888859409,-0.208539968205273,-0.534713498863293,-0.437135958723148,-0.359935639503285,0.913253917165714,0.0505397831384001,-0.244349769329801,-0.332653146973034,-0.471915599613543,-0.435272921476126,-0.446706774452352,-0.20569665678887,-0.123361057474272,-0.34220601478704,-0.334099254121832,-0.460035358969573,1.39927572048596,-0.29528252478228,-0.320865561560298,-0.378603687367778,4.47215432880352,-0.109954118000073,-0.475404964002666,-0.401296345140681,-0.499809523006274,-0.462819677882665,-0.0895110698557803,-0.271202194047989,-0.293461681853122,-0.336320803814388,-0.33060956067189,-0.470593938140891,0.363626467203268,-0.465836040821493,0.350658931909412,-0.474192620362157,-0.454925468762598,-0.290491606423513,-0.474959428441475,-0.0679809842936332,-0.453978911684892,-0.518176300778863,-0.215808102375499,-0.383192030234451,-0.454015564419965,-0.337861000595783,-0.467078664527411,-0.455798236537302,-0.353235254373968,-0.396896066810796,-0.105629539175431,-0.366912591504895,-0.0754627057391696,-0.229866750384366,0.0557948446025342,-0.424543961719278,-0.327694601918005,-0.454559596128238
